token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
不必,0,37,0.37397498549083896,276,0.013815222698802143,0.02159167538304085,0.999999506567968,276,4.905845637894628e-7,0.9999990159834042,1.2812412588969506e-6,3,bùbì,need not; does not have to; not necessarily,Translation,要不 | 要不然 | 非得 | 不要 | 不然 | 免得 | 怕 | 别 | 想 | 何必 | 不用 | 干吗,0.0
操心,2,24,0.40955952788165484,6,0.03092613169960401,0.04977115202133536,1.0,224,1.1794742455774715e-18,1.0,8.364166921447386e-18,7-9,cāoxīn,to worry about,Translation,羞愧 | 惭愧 | 气愤 | 难过 | 心疼 | 伤心 | 惋惜 | 难为情 | 痛心 | 委屈 | 难堪 | 生气,0.75
吃力,2,24,0.4047529944668303,136,0.023919092518110197,0.038631140486198076,1.0,336,3.588918286993815e-20,1.0,2.6819869045123757e-19,5,chīlì,to entail strenuous effort; to toil at a task; strenuous; laborious; strain,Translation,好笑 | 好玩儿 | 没劲 | 挺好 | 好看 | 没意思 | 别扭 | 好听 | 过瘾 | 有意思 | 难看 | 痛快,0.25
忙活,2,24,0.39789671597208925,254,0.03827695606568504,0.059772231666752565,1.0,375,3.3834087779456074e-20,1.0,2.7160019246369695e-19,7-9,mánghuo,to be really busy; pressing business,Translation,唱歌 | 跳舞 | 念书 | 读书 | 打球 | 演戏 | 聊天儿 | 打牌 | 玩耍 | 上课 | 下棋 | 交朋友,0.5
忙,2,24,0.3941117164427315,168,0.010986287987759136,0.017809597760275343,1.0,168,2.85462196782999e-18,1.0,4.579862455273282e-17,1,máng,busy; hurriedly; to hurry; to rush,Translation,烦 | 渴 | 慌 | 困 | 馋 | 苦 | 愁 | 懒 | 累 | 闷 | 怨 | 痛,0.5
力不从心,2,24,0.3881712572356829,224,0.06007612785952282,0.08941165704565338,0.9999999999993321,308,6.745404329929022e-13,0.9999999999986575,3.2670789132235177e-12,7-9,lìbùcóngxīn,less capable than desirable (idiom); not as strong as one would wish; the spirit is willing but the flesh is weak,Translation,衰弱 | 紊乱 | 虚弱 | 崩溃 | 衰退 | 恶化 | 萎缩 | 瘫痪 | 脆弱 | 严重 | 衰竭 | 松弛,0.25
措手不及,2,24,0.35433146041712754,396,-0.01312402345404634,-0.02032625511307247,1.0,224,3.0580339263516965e-17,1.0,2.1858510944622459e-16,7-9,cuòshǒu-bùjí,no time to deal with it (idiom); caught unprepared,Translation,羞愧 | 惭愧 | 气愤 | 难过 | 心疼 | 伤心 | 惋惜 | 难为情 | 痛心 | 委屈 | 难堪 | 生气,0.25
思前想后,2,24,0.34870029740281294,224,1.630119432494137e-6,2.5028651878221923e-6,1.0,398,1.6468184508601158e-15,0.9999999999999983,9.417695670723075e-15,7-9,sīqián-xiǎnghòu,to consider past cause and future effect (idiom); to think over the past and future; to ponder over reasons and connection,Translation,好说 | 不行 | 不要紧 | 没关系 | 没用 | 说不上 | 离谱儿 | 实话 | 碍事 | 没什么 | 难说 | 晓得,0.0
着落,2,24,0.3291994607810535,107,0.05386111732888438,0.07432588276502713,1.0,398,6.600532517445458e-18,1.0,4.4074739544323204e-17,7-9,zhuóluò,whereabouts; place to settle; reliable source (of funds etc); (of responsibility for a matter) to rest with sb; settlement; solution,Translation,好说 | 不行 | 不要紧 | 没关系 | 没用 | 说不上 | 离谱儿 | 实话 | 碍事 | 没什么 | 难说 | 晓得,0.5
灾害,3,25,0.5241333356925227,246,0.18561005779309664,0.2805995307040838,1.0,321,5.772892136196856e-23,1.0,5.07498694209127e-22,5,zāihài,calamity; disaster,Translation,沙漠 | 湖泊 | 沼泽 | 海岸 | 草原 | 大海 | 陆地 | 海洋 | 岩石 | 高山 | 沙滩 | 海水,0.75
水灾,3,25,0.5141364545410788,213,0.19159101174685567,0.282810130523131,1.0,144,3.7084267580202665e-27,1.0,3.7682900485107564e-26,5,shuǐzāi,flood; flood damage,Translation,暴风雨 | 风暴 | 暴风骤雨 | 动荡 | 风波 | 危机 | 浩劫 | 风浪 | 波澜 | 旋涡 | 瘟疫 | 火焰,0.75
旱灾,3,25,0.49247510899620206,47,0.14717932383083143,0.22480277428488407,1.0,47,7.746059879454409e-22,1.0,6.284501249181298e-21,7-9,hànzāi,drought,Translation,果树 | 作物 | 水稻 | 农作物 | 饲养 | 种植 | 害虫 | 繁殖 | 栽培 | 牲畜 | 庄稼 | 家禽,0.75
灾难,3,25,0.46227644370642734,301,0.06711404465645526,0.11096209056949853,0.9999999999995879,144,4.1715773072963273e-13,0.9999999999991708,2.0534774203989048e-12,5,zāinàn,disaster; catastrophe,Translation,暴风雨 | 风暴 | 暴风骤雨 | 动荡 | 风波 | 危机 | 浩劫 | 风浪 | 波澜 | 旋涡 | 瘟疫 | 火焰,0.25
暴雨,3,25,0.44037899037569117,143,0.058483606141635947,0.09461764990893014,0.9999999999999574,321,4.669920946140059e-14,0.9999999999999106,2.5677289090386057e-13,6,bàoyǔ,torrential rain; rainstorm,Translation,沙漠 | 湖泊 | 沼泽 | 海岸 | 草原 | 大海 | 陆地 | 海洋 | 岩石 | 高山 | 沙滩 | 海水,0.75
洪水,3,25,0.4394172844096537,213,0.13732154032589966,0.19676272090591662,0.9999999999369322,321,6.30625341693686e-11,0.9999999998738697,2.577453157156259e-10,6,hóngshuǐ,deluge; flood,Translation,沙漠 | 湖泊 | 沼泽 | 海岸 | 草原 | 大海 | 陆地 | 海洋 | 岩石 | 高山 | 沙滩 | 海水,0.75
火灾,3,25,0.42999700846176053,213,0.05984169542512324,0.09501024087959674,1.0,388,2.0913403183533314e-17,1.0,2.2413114498024307e-16,5,huǒzāi,serious fire (in a city or a forest etc),Translation,延误 | 耽误 | 晚点 | 耽搁 | 堵车 | 故障 | 疏忽 | 误 | 失误 | 迟到 | 差错 | 追尾,0.75
地震,3,25,0.4224520637474704,213,0.11592792287997694,0.16716937057476713,1.0,321,5.946646082944732e-17,0.9999999999999999,3.8835019827439517e-16,5,dìzhèn,earthquake,Translation,沙漠 | 湖泊 | 沼泽 | 海岸 | 草原 | 大海 | 陆地 | 海洋 | 岩石 | 高山 | 沙滩 | 海水,1.0
受灾,3,25,0.41041572480265304,246,0.03940598297233672,0.0626495918824009,0.9999999984773495,295,1.5225679774901727e-9,0.9999999969547816,5.4139534359365264e-9,5,shòuzāi,disaster-stricken; to be hit by a natural calamity,Translation,救援 | 救灾 | 搜救 | 营救 | 抢救 | 支援 | 援助 | 防疫 | 疏散 | 灾区 | 前线 | 部队,0.0
灾,3,25,0.4074900417061824,246,0.07737721776224105,0.11550783554000418,0.9999999999998863,40,1.0569874406435732e-13,0.9999999999997806,5.645627373288583e-13,5,zāi,disaster; calamity; variant of 灾; old variant of 灾,Translation,利 | 德 | 融 | 信 | 保 | 盛 | 福 | 富 | 合 | 金 | 安 | 通,0.0
海啸,3,25,0.40725380107462755,144,0.06602251576666818,0.10022108563174909,0.9999999999348717,144,6.511275358708986e-11,0.9999999998697588,2.6582953550973273e-10,7-9,hǎixiào,tsunami,Translation,暴风雨 | 风暴 | 暴风骤雨 | 动荡 | 风波 | 危机 | 浩劫 | 风浪 | 波澜 | 旋涡 | 瘟疫 | 火焰,1.0
事故,3,25,0.39631069494199506,213,0.010593435860686562,0.017245211618420984,0.9999999999235314,388,7.646833496315401e-11,0.999999999847063,3.100632663436512e-10,3,shìgù,accident,Translation,延误 | 耽误 | 晚点 | 耽搁 | 堵车 | 故障 | 疏忽 | 误 | 失误 | 迟到 | 差错 | 追尾,0.75
干旱,3,25,0.39386466013002835,47,0.016596861802527396,0.026651683914775053,0.9999999999999858,47,2.0097555054733274e-14,0.9999999999999657,1.0982747081023048e-13,7-9,gānhàn,drought; arid; dry,Translation,果树 | 作物 | 水稻 | 农作物 | 饲养 | 种植 | 害虫 | 繁殖 | 栽培 | 牲畜 | 庄稼 | 家禽,0.25
遭受,3,25,0.3934160525426195,208,0.06668536753449605,0.09904709163123031,1.0,208,1.5584421487516035e-15,0.9999999999999984,8.868488643721246e-15,6,zāoshòu,"to suffer; to sustain (loss, misfortune)",Translation,导致 | 拖累 | 忽视 | 影响 | 受到 | 造成 | 忽略 | 加重 | 过分 | 过度 | 加剧 | 不利,0.25
特大,3,25,0.39072919045678023,194,0.12184422475819268,0.16665534018817713,1.0,334,7.958216498308303e-18,1.0,5.704095476926472e-17,6,tèdà,exceptionally big,Translation,惊心动魄 | 惊天动地 | 不可思议 | 惊人 | 难以置信 | 史无前例 | 骇人听闻 | 难以想象 | 前无古人 | 了不起 | 举世瞩目 | 举世无双,1.0
伤亡,3,25,0.3823452018962928,213,-0.054955800447822944,-0.08897494298845494,1.0,213,4.015385918518078e-20,1.0,2.993148527138625e-19,6,shāngwáng,casualties; injuries and deaths,Translation,丧生 | 遇难 | 受伤 | 重伤 | 死亡 | 失踪 | 车祸 | 遇险 | 不幸 | 幸存 | 摔倒 | 倒下,0.5
台风,3,25,0.3719474759205687,143,0.067611256950175,0.0971895602357047,0.9999999999348148,143,6.518734795587341e-11,0.9999999998696275,2.660787063254412e-10,5,táifēng,"stage presence, poise; typhoon",Translation,阴天 | 冬天 | 晴朗 | 晴天 | 下雨 | 下雪 | 夜晚 | 炎热 | 夏天 | 寒冷 | 天气 | 刮风,0.5
损失,3,25,0.3558298662884937,95,0.0340842360144315,0.050252880830246587,1.0,278,6.134204818183744e-21,1.0,4.792818838895302e-20,5,sǔnshī,loss; damage; to lose; to suffer damage,Translation,支出 | 开支 | 费用 | 利息 | 税收 | 款项 | 数额 | 巨额 | 财政 | 收支 | 手续费 | 收入,0.0
惨重,3,25,0.355130832729669,301,-0.03299375561248025,-0.0511634875522731,1.0,301,2.8606982913363852e-18,1.0,1.9716305466936815e-17,7-9,cǎnzhòng,disastrous,Translation,痛苦 | 悲伤 | 悲哀 | 凄凉 | 悲惨 | 心酸 | 绝望 | 伤感 | 悲痛 | 悔恨 | 惨痛 | 辛酸,0.0
突发,3,25,0.3418595717406166,213,0.018413797735300053,0.02721703158121246,1.0,308,1.9865193247428944e-17,1.0,1.2815548801809019e-16,7-9,tūfā,to occur suddenly,Translation,衰弱 | 紊乱 | 虚弱 | 崩溃 | 衰退 | 恶化 | 萎缩 | 瘫痪 | 脆弱 | 严重 | 衰竭 | 松弛,0.75
空难,3,25,0.3410375132072629,213,-0.029349496571945077,-0.04453894896930034,1.0,213,1.3249482969348505e-17,1.0,8.626812131808042e-17,7-9,kōngnàn,air crash; aviation accident or incident,Translation,丧生 | 遇难 | 受伤 | 重伤 | 死亡 | 失踪 | 车祸 | 遇险 | 不幸 | 幸存 | 摔倒 | 倒下,0.75
受害,3,25,0.3356735310821372,213,-0.006115938906699536,-0.009206224940369875,1.0,213,2.255207925911229e-24,1.0,2.1565813855759503e-23,7-9,shòuhài,"to suffer damage, injury etc; damaged; injured; killed; robbed",Translation,丧生 | 遇难 | 受伤 | 重伤 | 死亡 | 失踪 | 车祸 | 遇险 | 不幸 | 幸存 | 摔倒 | 倒下,0.25
发生,3,25,0.32055911201435094,196,0.030292852584937524,0.04268199587155565,1.0,41,6.51004690275106e-21,1.0,5.050818784307948e-20,3,fāshēng,to happen; to occur; to take place; to break out,Translation,引发 | 激发 | 引起 | 促使 | 激起 | 诱发 | 带动 | 刺激 | 促成 | 使 | 令 | 吸引,0.75
遭遇,3,25,0.31917886778750987,167,0.00031253337077769006,0.0004588429357841331,1.0,287,4.3160670969321407e-19,1.0,3.320162664954589e-18,6,zāoyù,to meet with; to encounter; (bitter) experience,Translation,处于 | 处在 | 缺乏 | 陷入 | 面临 | 欠缺 | 缺失 | 低迷 | 缺少 | 薄弱 | 徘徊 | 存在,0.0
危急,3,25,0.28839109297984966,136,-0.08685166847468428,-0.1220497208759993,0.9999999999985079,144,1.497908228980968e-12,0.99999999999701,7.055973429058931e-12,7-9,wēijí,critical; desperate (situation),Translation,暴风雨 | 风暴 | 暴风骤雨 | 动荡 | 风波 | 危机 | 浩劫 | 风浪 | 波澜 | 旋涡 | 瘟疫 | 火焰,0.0
和睦,4,34,0.42079183886641974,185,0.060108019788206846,0.0940192374007196,1.0,185,4.074087242945345e-20,1.0,3.7831720685895113e-19,7-9,hémù,peaceful relations; harmonious,Translation,幸福 | 快乐 | 欢乐 | 美满 | 开心 | 喜庆 | 甜蜜 | 吉祥 | 团圆 | 顺心 | 美好 | 好运,1.0
和平,4,34,0.4050838957902651,48,0.09357719702466721,0.13591591502327238,1.0,48,2.4471351040435683e-16,0.9999999999999998,1.6797399099184235e-15,3,hépíng,"Heping District of Shenyang city 沈阳市, Liaoning; Heping or Hoping Township in Taichung County 台中县, Taiwan; peace; peaceful",Translation,侵略 | 帝国主义 | 政权 | 战争 | 武力 | 势力 | 专制 | 军队 | 封建 | 军事 | 官僚 | 武装,0.25
和谐,4,34,0.37870608689879537,185,0.03571903045081143,0.054365794161836754,1.0,185,2.8147576827669624e-18,1.0,1.8985184287155968e-17,6,héxié,harmonious; harmony; (euphemism) to censor,Translation,幸福 | 快乐 | 欢乐 | 美满 | 开心 | 喜庆 | 甜蜜 | 吉祥 | 团圆 | 顺心 | 美好 | 好运,1.0
公正,4,34,0.37712907849739796,266,0.025058329368125354,0.03867448387991501,1.0,304,8.014469802694826e-18,1.0,5.2662187891491344e-17,5,gōngzhèng,just; fair; equitable,Translation,冷静 | 谦虚 | 坦诚 | 勇敢 | 理智 | 坦率 | 坦然 | 镇定 | 诚实 | 谨慎 | 沉着 | 自信,0.0
平等,4,34,0.37561867381321984,199,0.0057948427727330665,0.009195591737943714,1.0,158,2.3159540451195743e-18,1.0,1.5704430360363758e-17,2,píngděng,equal; equality,Translation,宪法 | 议会 | 条约 | 法律 | 政党 | 人权 | 国会 | 司法 | 协定 | 联合国 | 公民 | 公约,0.25
团结,4,34,0.37472798795880097,234,0.027088446163382462,0.04152374016956049,0.9999999999994884,221,5.130020860051165e-13,0.9999999999989754,2.508427764431297e-12,3,tuánjié,to unite; unity; solidarity; united,Translation,干部 | 机关 | 领导 | 同志 | 公仆 | 基层 | 工会 | 党 | 知识分子 | 官僚主义 | 文艺界 | 劳动,0.25
民主,4,34,0.36690659167120454,48,0.032517950624076086,0.048854260352817334,0.9999998025164185,221,1.7832741935690714e-7,0.9999996241889991,5.524674740863838e-7,6,mínzhǔ,democracy,Translation,干部 | 机关 | 领导 | 同志 | 公仆 | 基层 | 工会 | 党 | 知识分子 | 官僚主义 | 文艺界 | 劳动,0.0
安宁,4,34,0.3613913657666293,123,-0.01732218969456345,-0.027124891155532502,1.0,236,5.7682584734601515e-19,1.0,6.7345544200598976e-18,7-9,ānníng,"Anning District of Lanzhou City 兰州市, Gansu; Anning City, to the west of Kunming 明, Yunnan; peaceful; tranquil; calm; composed; free from worry",Translation,艳丽 | 明媚 | 翠绿 | 晶莹 | 碧绿 | 美丽 | 鲜艳 | 亮丽 | 灿烂 | 明亮 | 耀眼 | 秀丽,0.75
正义,4,34,0.36036143163329315,22,0.009009012002556771,0.01388891637802472,0.9999999999975131,48,2.4475259664020067e-12,0.9999999999950656,1.1510953485274074e-11,5,zhèngyì,justice; righteousness; just; righteous,Translation,侵略 | 帝国主义 | 政权 | 战争 | 武力 | 势力 | 专制 | 军队 | 封建 | 军事 | 官僚 | 武装,0.0
富强,4,34,0.35732659103996495,234,0.015882100560292767,0.024116570783624405,0.9999999999973568,234,1.5371854295798808e-12,0.9999999999958196,1.2521571108016004e-11,7-9,fùqiáng,rich and powerful,Translation,艰苦奋斗 | 奋斗 | 拼搏 | 自强不息 | 英勇 | 发愤图强 | 伟大 | 勇往直前 | 弘扬 | 中华民族 | 祖国 | 发扬,0.0
安定,4,34,0.35089025025794124,363,0.02059275873977351,0.030749113940838766,0.9999999999985931,318,1.4026277412769765e-12,0.9999999999971905,6.6241459901460424e-12,7-9,āndìng,"Anting township in Tainan county 台南县, Taiwan; stable; calm; settled; to stabilize; Valium; diazepam",Translation,顺畅 | 畅通 | 通畅 | 高效 | 便捷 | 健全 | 完善 | 稳固 | 可靠 | 完备 | 稳妥 | 快捷,0.75
和平共处,4,34,0.3477260262662414,365,0.03253191006550005,0.04750530162652096,0.9999999999999858,215,1.8637911033395793e-14,0.9999999999999671,1.072858219562156e-13,7-9,hépíng gòngchǔ,"peaceful coexistence of nations, societies etc",Translation,争执 | 争吵 | 争端 | 纠纷 | 协商 | 争论 | 磋商 | 冲突 | 分歧 | 谈判 | 和解 | 交涉,0.25
公平,4,34,0.3456720717879714,199,0.0032230427193284394,0.004901586130674033,1.0,50,1.325480380686563e-16,0.9999999999999999,8.106024562582628e-16,2,gōngpíng,fair; impartial,Translation,合理 | 合适 | 有利 | 适当 | 有益 | 适宜 | 必要 | 有利于 | 可行 | 适合 | 适度 | 必需,0.0
尊严,4,34,0.3437398410439912,199,-0.05644982097221102,-0.08601744323777406,1.0,5,4.304817770104975e-16,0.9999999999999996,2.544214779770344e-15,7-9,zūnyán,dignity; sanctity; honor; majesty,Translation,思维 | 观念 | 人格 | 意识 | 天性 | 审美 | 本性 | 自尊心 | 认知 | 自尊 | 性格 | 心态,0.0
富足,4,34,0.3406862784714644,123,-0.041967449986378524,-0.06365323307557172,1.0,185,3.753947812709708e-18,1.0,2.5139497130867884e-17,7-9,fùzú,rich; plentiful,Translation,幸福 | 快乐 | 欢乐 | 美满 | 开心 | 喜庆 | 甜蜜 | 吉祥 | 团圆 | 顺心 | 美好 | 好运,0.5
中立,4,34,0.3355759927644416,304,0.036247891918642805,0.05173304646925116,1.0,48,6.2136347462454e-20,1.0,4.674916065856245e-19,7-9,zhōnglì,neutral; neutrality,Translation,侵略 | 帝国主义 | 政权 | 战争 | 武力 | 势力 | 专制 | 军队 | 封建 | 军事 | 官僚 | 武装,0.0
友好,4,34,0.33405687292517083,191,-0.029776905833017675,-0.0447138871510145,0.9999999999996163,191,3.784786098273177e-13,0.9999999999992378,1.87085676007203e-12,2,yǒuhǎo,"Youhao district of Yichun city 市, Heilongjiang; friendly; amicable; close friend",Translation,诚恳 | 真诚 | 和蔼 | 体贴 | 友善 | 礼貌 | 殷勤 | 宽容 | 诚挚 | 客气 | 善意 | 仁慈,0.25
廉洁,4,34,0.3277373712783577,22,-0.008402785237186017,-0.012499259780607598,0.9999999999999716,221,2.4554651934953334e-14,0.999999999999947,1.5643574794870624e-13,7-9,liánjié,incorruptible; unbribable; honest,Translation,干部 | 机关 | 领导 | 同志 | 公仆 | 基层 | 工会 | 党 | 知识分子 | 官僚主义 | 文艺界 | 劳动,0.0
独立自主,4,34,0.32226591318833986,304,0.018451977932690822,0.026504377015168553,0.9999999998501892,304,1.494423816092191e-10,0.9999999997007468,5.911323581423302e-10,7-9,dúlì-zìzhǔ,independent and autonomous (idiom); self-determination; to act independently; to maintain control over one's own affairs,Translation,冷静 | 谦虚 | 坦诚 | 勇敢 | 理智 | 坦率 | 坦然 | 镇定 | 诚实 | 谨慎 | 沉着 | 自信,0.0
融洽,4,34,0.3212995784676609,191,-0.04420390085715342,-0.06513020981680231,1.0,195,4.930498176214204e-24,1.0,4.416416676870771e-23,7-9,róngqià,harmonious; friendly relations; on good terms with one another,Translation,父女 | 母女 | 母子 | 相识 | 相依为命 | 朝夕相处 | 夫妻 | 姐妹 | 爱人 | 情人 | 亲密 | 相处,0.75
诚信,4,34,0.31743734202000606,279,0.01252185413388579,0.018014865697128808,1.0,221,9.01676378300375e-16,0.9999999999999991,5.81573536503199e-15,4,chéngxìn,genuine; honest; in good faith; honesty; integrity,Translation,干部 | 机关 | 领导 | 同志 | 公仆 | 基层 | 工会 | 党 | 知识分子 | 官僚主义 | 文艺界 | 劳动,0.0
自由,4,34,0.31734837496754476,123,-0.04982216542327206,-0.07298329571969203,0.9999999999996874,123,3.169210747614486e-13,0.9999999999993704,1.574519237566751e-12,2,zìyóu,freedom; liberty; free; unrestricted,Translation,悠闲 | 安逸 | 潇洒 | 自由自在 | 自在 | 怡然自得 | 无忧无虑 | 从容 | 安稳 | 舒畅 | 愉快 | 安静,0.25
崇高,4,34,0.3159126343644299,22,-0.08830533116647443,-0.12908487366146873,0.9999999493763467,22,5.061817007653627e-8,0.9999998987581766,1.5039755053545728e-7,7-9,chónggāo,majestic; sublime,Translation,质朴 | 朴实 | 纯朴 | 善良 | 谦逊 | 敦厚 | 豁达 | 朴素 | 真挚 | 正直 | 刚毅 | 坚韧,0.0
友谊,4,34,0.31362348246375765,242,-0.018132649733316686,-0.026417934282489917,1.0,242,1.0557826608248863e-16,0.9999999999999999,6.503353705316738e-16,5,yǒuyì,companionship; fellowship; friendship,Translation,情感 | 爱情 | 心灵 | 感情 | 亲情 | 情怀 | 人生 | 真情 | 友情 | 内心 | 青春 | 生命,0.25
互信,4,34,0.3118968752069497,366,-0.04769364650883212,-0.06931177143422516,0.9999999970794704,141,2.7965963819073995e-9,0.999999994282874,1.0153362248744684e-8,7-9,hùxìn,mutual trust,Translation,交谈 | 会面 | 对话 | 谈话 | 交流 | 沟通 | 会谈 | 会晤 | 座谈 | 交往 | 互访 | 访谈,0.25
富裕,4,34,0.3101876509637748,97,-0.0028437888966386105,-0.004122554344832801,1.0,96,1.2945050625161637e-19,1.0,9.899323195586896e-19,7-9,fùyù,"Fuyu county in Qiqihar 齐齐哈尔, Heilongjiang; prosperous; well-to-do; well-off",Translation,蓬勃 | 兴旺 | 欣欣向荣 | 红火 | 繁荣 | 旺盛 | 强劲 | 朝气蓬勃 | 生机 | 活力 | 丰硕 | 壮大,0.0
